,lambda,iteration,num sols,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SATVars
0,0.1,7,37,,237.058,,0,95.026,1,0,607178,
1,0.1,17,39,,228.789,,0,91.556,1,0,606886,
2,0.1,18,31,,232.437,,0,96.353,1,0,605669,
3,0.1,19,46,,230.248,,0,92.267,1,0,606877,
4,0.1,22,30,,233.995,,0,95.615,1,0,602342,
5,0.1,23,38,,233.092,,0,90.204,1,0,605758,
6,0.1,25,49,,234.47,,0,93.37,1,0,602356,
7,0.1,26,39,,233.023,,0,91.035,1,0,605994,
8,0.1,27,47,,237.411,,0,95.323,1,0,604477,
9,0.1,28,41,,231.697,,0,94.214,1,0,606657,
10,0.1,29,35,,234.402,,0,98.523,1,0,605268,
11,0.2,0,74,,232.432,,0,90.35,1,0,591157,
12,0.2,1,71,,231.682,,0,92.124,1,0,606623,
13,0.2,2,65,,233.284,,0,88.075,1,0,607207,
14,0.2,3,76,,233.36,,0,90.745,1,0,607205,
15,0.2,4,75,,232.111,,0,88.472,1,0,595320,
16,0.2,5,81,,235.297,,0,89.854,1,0,607033,
17,0.2,6,86,,234.889,,0,93.491,1,0,605014,
18,0.2,7,96,,234.624,,0,90.455,1,0,607317,
19,0.2,8,63,,232.869,,0,92.983,1,0,601603,
20,0.2,9,86,,234.439,,0,86.778,1,0,600597,
21,0.2,10,69,,233.278,,0,85.773,1,0,606505,
22,0.2,11,91,,234.628,,0,88.753,1,0,605178,
23,0.2,12,70,,230.67,,0,90.938,1,0,605344,
24,0.2,13,81,,232.375,,0,92.447,1,0,604503,
25,0.2,14,78,,231.746,,0,93.246,1,0,607157,
26,0.2,15,91,,234.149,,0,86.208,1,0,606473,
27,0.2,16,78,,248.22,,0,89.235,1,0,606903,
28,0.2,17,71,,229.49,,0,90.861,1,0,605585,
29,0.2,18,66,,233.604,,0,90.874,1,0,600862,
30,0.2,19,82,,231.068,,0,88.078,1,0,606958,
31,0.2,20,79,,232.405,,0,92.871,1,0,602022,
32,0.2,21,71,,229.951,,0,92.939,1,0,606701,
33,0.2,22,73,,245.187,,0,94.321,1,0,607050,
34,0.2,23,86,,232.753,,0,90.67,1,0,591976,
35,0.2,24,72,,228.662,,0,95.374,1,0,603242,
36,0.2,25,82,,234.804,,0,96.151,1,0,601326,
37,0.2,26,92,,229.368,,0,94.191,1,0,589708,
38,0.2,27,77,,236.35,,0,89.85,1,0,606944,
39,0.2,28,79,,233.283,,0,92.657,1,0,601327,
40,0.2,29,78,,237.006,,0,88.716,1,0,605412,
41,0.30000000000000004,0,129,,232.444,,0,94.665,1,0,606636,
42,0.30000000000000004,1,119,,228.919,,0,92.069,1,0,604089,
43,0.30000000000000004,2,125,,228.099,,0,97.165,1,0,606495,
44,0.30000000000000004,3,123,,232.082,,0,92.65,1,0,606291,
45,0.30000000000000004,4,108,,240.973,,0,91.297,1,0,606871,
46,0.30000000000000004,5,109,,235.538,,0,89.919,1,0,606890,
47,0.30000000000000004,6,122,,229.511,,0,89.827,1,0,607161,
48,0.30000000000000004,7,119,,230.039,,0,82.073,1,0,606966,
49,0.30000000000000004,8,110,,235.022,,0,89.206,1,0,601007,
50,0.30000000000000004,9,110,,236.263,,0,89.835,1,0,607278,
51,0.30000000000000004,10,125,,236.369,,0,90.394,1,0,606150,
52,0.30000000000000004,11,112,,230.906,,0,84.89,1,0,603944,
53,0.30000000000000004,12,124,,229.483,,0,87.943,1,0,604749,
54,0.30000000000000004,13,122,,233.635,,0,81.92,1,0,607314,
55,0.30000000000000004,14,104,,228.81,,0,83.338,1,0,606617,
56,0.30000000000000004,15,115,,227.868,,0,84.111,1,0,606963,
57,0.30000000000000004,16,116,,235.437,,0,86.197,1,0,606061,
58,0.30000000000000004,17,115,,230.987,,0,86.729,1,0,601533,
59,0.30000000000000004,18,122,,233.136,,0,82.451,1,0,606699,
60,0.30000000000000004,19,127,,234.408,,0,84.964,1,0,601304,
61,0.30000000000000004,20,118,,232.853,,0,84.188,1,0,606420,
62,0.30000000000000004,21,99,,232.182,,0,77.605,1,0,607299,
63,0.30000000000000004,22,117,,230.558,,0,76.415,1,0,607005,
64,0.30000000000000004,23,117,,230.668,,0,90.479,1,0,600324,
65,0.30000000000000004,24,121,,233.074,,0,90.279,1,0,607248,
66,0.30000000000000004,25,121,,233.06,,0,88.897,1,0,607127,
67,0.30000000000000004,26,109,,233.818,,0,93.412,1,0,599911,
68,0.30000000000000004,27,107,,234.236,,0,87.985,1,0,606268,
69,0.30000000000000004,28,124,,235.26,,0,90.78,1,0,607002,
70,0.30000000000000004,29,109,,231.722,,0,89.89,1,0,606884,
71,0.4,0,162,,234.07,,0,88.168,1,0,601941,
72,0.4,1,159,,229.696,,0,90.435,1,0,607256,
73,0.4,2,158,,231.47,,0,90.316,1,0,605277,
74,0.4,3,162,,237.058,,0,95.216,1,0,604608,
75,0.4,4,160,,234.685,,0,91.069,1,0,606999,
76,0.4,5,145,,230.491,,0,89.635,1,0,606213,
77,0.4,6,161,,230.149,,0,92.862,1,0,606960,
78,0.4,7,153,,230.89,,0,89.967,1,0,607166,
79,0.4,8,158,,234.826,,0,90.067,1,0,603675,
80,0.4,9,151,,231.142,,0,86.264,1,0,607315,
81,0.4,10,162,,230.67,,0,88.693,1,0,606910,
82,0.4,11,158,,231.728,,0,87.059,1,0,594944,
83,0.4,12,168,,234.067,,0,80.847,1,0,606899,
84,0.4,13,153,,230.995,,0,87.018,1,0,604614,
85,0.4,14,156,,235.089,,0,84.17,1,0,607049,
86,0.4,15,159,,230.456,,0,81.551,1,0,606945,
87,0.4,16,167,,232.615,,0,83.213,1,0,605678,
88,0.4,17,150,,234.547,,0,86.086,1,0,607290,
89,0.4,18,153,,235.6,,0,80.914,1,0,605444,
90,0.4,19,148,,234.751,,0,83.473,1,0,602302,
91,0.4,20,147,,233.19,,0,82.926,1,0,602357,
92,0.4,21,139,,228.601,,0,79.275,1,0,606845,
93,0.4,22,163,,229.12,,0,78.444,1,0,606995,
94,0.4,23,145,,232.559,,0,79.789,1,0,603852,
95,0.4,24,160,,230.484,,0,78.828,1,0,606930,
96,0.4,25,147,,238.302,,0,84.915,1,0,602295,
97,0.4,26,171,,232.352,,0,89.8,1,0,604665,
98,0.4,27,165,,229.836,,0,85.542,1,0,589585,
99,0.4,28,169,,229.668,,0,88.784,1,0,603036,
100,0.4,29,150,,237.306,,0,88.357,1,0,602481,
101,0.5,0,182,,232.605,,0,87.134,1,0,602177,
102,0.5,1,193,,228.452,,0,85.487,1,0,606360,
103,0.5,2,194,,230.586,,0,87.156,1,0,604468,
104,0.5,3,177,,231.283,,0,90.933,1,0,605647,
105,0.5,4,199,,232.35,,0,89.363,1,0,606696,
106,0.5,5,199,,233.305,,0,88.84,1,0,606944,
107,0.5,6,192,,229.993,,0,92.855,1,0,602517,
108,0.5,7,190,,234.988,,0,93.609,1,0,602780,
109,0.5,8,195,,234.307,,0,86.027,1,0,605282,
110,0.5,9,191,,231.651,,0,86.363,1,0,603058,
111,0.5,10,194,,228.152,,0,92.496,1,0,607142,
112,0.5,11,188,,228.379,,0,84.947,1,0,606889,
113,0.5,12,197,,230.396,,0,85.831,1,0,605267,
114,0.5,13,197,,230.153,,0,88.65,1,0,602899,
115,0.5,14,177,,229.522,,0,91.282,1,0,604744,
116,0.5,15,198,,229.291,,0,86.455,1,0,607344,
117,0.5,16,177,,235.061,,0,92.169,1,0,603359,
118,0.5,17,197,,230.842,,0,88.42,1,0,607031,
119,0.5,18,188,,234.613,,0,83.545,1,0,607318,
120,0.5,19,197,,233.154,,0,86.217,1,0,607044,
121,0.5,20,178,,233.252,,0,85.467,1,0,604258,
122,0.5,21,194,,228.321,,0,77.459,1,0,607366,
123,0.5,22,181,,228.903,,0,76.972,1,0,607393,
124,0.5,23,197,,233.768,,0,84.21,1,0,605637,
125,0.5,24,211,,234.044,,0,80.844,1,0,603088,
126,0.5,25,187,,233.052,,0,79.159,1,0,606298,
127,0.5,26,192,,230.697,,0,82.129,1,0,607411,
128,0.5,27,192,,236.101,,0,88.435,1,0,607192,
129,0.5,28,202,,233.232,,0,87.702,1,0,606970,
130,0.5,29,182,,229.492,,0,85.301,1,0,607303,
131,0.6,0,238,,233.502,,0,91.664,1,0,602357,
132,0.6,1,239,,231.583,,0,88.804,1,0,604975,
133,0.6,2,226,,228.833,,0,87.691,1,0,606824,
134,0.6,3,226,,230.049,,0,92.705,1,0,607177,
135,0.6,4,233,,231.092,,0,91.853,1,0,603890,
136,0.6,5,225,,234.626,,0,95.479,1,0,606842,
137,0.6,6,211,,234.212,,0,95.439,1,0,606874,
138,0.6,7,247,,230.243,,0,92.842,1,0,606942,
139,0.6,8,230,,233.245,,0,85.534,1,0,607387,
140,0.6,9,234,,231.11,,0,91.189,1,0,606973,
141,0.6,10,223,,236.351,,0,83.357,1,0,606431,
142,0.6,11,240,,233.954,,0,85.616,1,0,607410,
143,0.6,12,234,,228.409,,0,88.511,1,0,607449,
144,0.6,13,243,,231.883,,0,89.195,1,0,604825,
145,0.6,14,234,,228.646,,0,87.377,1,0,607169,
146,0.6,15,229,,234.029,,0,86.533,1,0,607320,
147,0.6,16,224,,235.263,,0,85.455,1,0,605916,
148,0.6,17,232,,240.155,,0,89.442,1,0,604979,
149,0.6,18,229,,232.642,,0,82.094,1,0,607071,
150,0.6,19,237,,233.034,,0,87.697,1,0,603931,
151,0.6,20,230,,230.185,,0,79.729,1,0,607243,
152,0.6,21,231,,233.107,,0,85.824,1,0,606076,
153,0.6,22,225,,232.461,,0,84.388,1,0,607283,
154,0.6,23,226,,230.793,,0,79.484,1,0,606974,
155,0.6,24,225,,232.909,,0,84.282,1,0,605190,
156,0.6,25,230,,230.123,,0,77.769,1,0,606372,
157,0.6,26,223,,232.874,,0,76.446,1,0,605217,
158,0.6,27,233,,230.971,,0,79.196,1,0,603603,
159,0.6,28,230,,230.679,,0,78.229,1,0,606268,
160,0.6,29,229,,230.596,,0,93.528,1,0,607061,
161,0.7000000000000001,0,257,,233.145,,0,93.477,1,0,606751,
162,0.7000000000000001,1,266,,237.172,,0,88.397,1,0,607158,
163,0.7000000000000001,2,270,,233.895,,0,96.401,1,0,605882,
164,0.7000000000000001,3,264,,231.224,,0,86.92,1,0,607123,
165,0.7000000000000001,4,275,,230.284,,0,90.563,1,0,607488,
166,0.7000000000000001,5,269,,232.461,,0,90.597,1,0,606067,
167,0.7000000000000001,6,272,,234.515,,0,93.037,1,0,606872,
168,0.7000000000000001,7,268,,229.009,,0,95.039,1,0,607124,
169,0.7000000000000001,8,247,,236.788,,0,89.32,1,0,604846,
170,0.7000000000000001,9,277,,233.763,,0,90.233,1,0,607000,
171,0.7000000000000001,10,278,,234.531,,0,90.997,1,0,607125,
172,0.7000000000000001,11,272,,234.492,,0,85.058,1,0,607291,
173,0.7000000000000001,12,259,,231.818,,0,88.988,1,0,605922,
174,0.7000000000000001,13,265,,235.138,,0,86.134,1,0,606582,
175,0.7000000000000001,14,266,,231.594,,0,87.584,1,0,607125,
176,0.7000000000000001,15,289,,230.7,,0,90.044,1,0,606682,
177,0.7000000000000001,16,289,,230.79,,0,90.285,1,0,607290,
178,0.7000000000000001,17,276,,235.151,,0,87.865,1,0,607158,
179,0.7000000000000001,18,279,,232.838,,0,85.492,1,0,607491,
180,0.7000000000000001,19,259,,231.068,,0,82.633,1,0,607108,
181,0.7000000000000001,20,273,,229.517,,0,87.795,1,0,607485,
182,0.7000000000000001,21,279,,235.607,,0,85.474,1,0,605435,
183,0.7000000000000001,22,271,,234.089,,0,86.46,1,0,605749,
184,0.7000000000000001,23,264,,230.711,,0,89.303,1,0,607367,
185,0.7000000000000001,24,253,,231.762,,0,86.074,1,0,606089,
186,0.7000000000000001,25,270,,228.916,,0,80.406,1,0,607132,
187,0.7000000000000001,26,270,,239.388,,0,81.983,1,0,607401,
188,0.7000000000000001,27,277,,234.491,,0,81.257,1,0,607114,
189,0.7000000000000001,28,285,,231.354,,0,80.397,1,0,605577,
190,0.7000000000000001,29,259,,230.22,,0,85.042,1,0,607154,
191,0.8,0,311,,231.02,,0,79.063,1,0,607292,
192,0.8,1,309,,234.889,,0,100.285,1,0,607169,
193,0.8,2,302,,234.076,,0,85.0,1,0,607301,
194,0.8,3,298,,238.052,,0,93.233,1,0,607300,
195,0.8,4,308,,245.529,,0,94.45,1,0,606292,
196,0.8,5,310,,231.501,,0,93.131,1,0,607530,
197,0.8,6,305,,251.662,,0,90.884,1,0,607312,
198,0.8,7,313,,234.759,,0,83.305,1,0,607300,
199,0.8,8,310,,228.668,,0,91.206,1,0,607532,
200,0.8,9,312,,232.789,,0,93.491,1,0,607170,
201,0.8,10,304,,233.978,,0,95.46,1,0,607440,
202,0.8,11,316,,229.905,,0,87.307,1,0,606356,
203,0.8,12,307,,229.977,,0,84.039,1,0,607412,
204,0.8,13,302,,229.516,,0,89.595,1,0,607293,
205,0.8,14,298,,228.427,,0,83.609,1,0,607275,
206,0.8,15,306,,229.313,,0,82.887,1,0,607287,
207,0.8,16,306,,238.66,,0,86.615,1,0,607008,
208,0.8,17,323,,234.324,,0,93.366,1,0,607481,
209,0.8,18,308,,237.209,,0,79.353,1,0,606735,
210,0.8,19,300,,231.828,,0,91.928,1,0,607295,
211,0.8,20,308,,234.282,,0,89.356,1,0,607324,
212,0.8,21,298,,237.289,,0,89.873,1,0,607284,
213,0.8,22,296,,238.879,,0,86.684,1,0,607224,
214,0.8,23,314,,233.486,,0,90.536,1,0,607278,
215,0.8,24,303,,235.306,,0,82.052,1,0,607285,
216,0.8,25,296,,233.295,,0,86.652,1,0,606390,
217,0.8,26,316,,227.762,,0,80.33,1,0,607292,
218,0.8,27,298,,232.577,,0,77.918,1,0,607151,
219,0.8,28,323,,235.661,,0,79.825,1,0,607303,
220,0.8,29,313,,231.233,,0,79.123,1,0,605450,
221,0.9,0,354,,230.937,,0,82.745,1,0,607473,
222,0.9,1,344,,234.578,,0,76.281,1,0,607458,
223,0.9,2,345,,229.317,,0,77.123,1,0,607206,
224,0.9,3,355,,237.175,,0,82.593,1,0,607247,
225,0.9,4,342,,239.29,,0,85.51,1,0,607454,
226,0.9,5,345,,235.265,,0,89.119,1,0,607451,
227,0.9,6,350,,226.391,,0,88.716,1,0,607441,
228,0.9,7,345,,231.566,,0,79.986,1,0,607453,
229,0.9,8,348,,235.355,,0,92.683,1,0,607363,
230,0.9,9,336,,236.647,,0,92.393,1,0,607449,
231,0.9,10,351,,233.105,,0,77.829,1,0,607452,
232,0.9,11,346,,227.657,,0,92.731,1,0,607438,
233,0.9,12,343,,233.193,,0,89.068,1,0,607262,
234,0.9,13,347,,233.089,,0,83.179,1,0,607448,
235,0.9,14,358,,235.402,,0,81.931,1,0,607485,
236,0.9,15,350,,234.765,,0,88.247,1,0,607566,
237,0.9,16,346,,233.075,,0,87.41,1,0,607442,
238,0.9,17,341,,234.095,,0,86.026,1,0,607453,
239,0.9,18,335,,220.853,,0,88.39,1,0,607259,
240,0.9,19,343,,230.725,,0,79.845,1,0,607460,
241,0.9,20,347,,236.2,,0,84.294,1,0,607425,
242,0.9,21,342,,230.189,,0,93.555,1,0,607511,
243,0.9,22,347,,235.268,,0,91.652,1,0,607441,
244,0.9,23,348,,230.531,,0,87.855,1,0,607456,
245,0.9,24,343,,227.947,,0,86.357,1,0,607454,
246,0.9,25,348,,234.623,,0,85.137,1,0,607458,
247,0.9,26,341,,234.244,,0,78.686,1,0,607359,
248,0.9,27,351,,236.372,,0,85.947,1,0,607376,
249,0.9,28,339,,228.491,,0,84.541,1,0,607438,
250,0.9,29,351,,232.601,,0,82.176,1,0,607452,
251,1.0,0,10,,302.448,,0,77.759,1,0,565788,
252,1.0,1,3,,227.917,,0,83.268,1,0,606893,
253,1.0,2,7,,293.372,,0,77.604,1,0,594068,
254,1.0,3,6,,228.636,,0,84.406,1,0,606152,
255,1.0,4,4,,264.265,,0,75.544,1,0,574024,
256,1.0,5,6,,283.504,,0,89.323,1,0,594112,
257,1.0,6,6,,214.885,,0,85.098,1,0,606989,
258,1.0,7,3,,199.299,,0,81.523,1,0,548608,
259,1.0,8,5,,199.004,,0,93.72,1,0,595070,
260,1.0,9,5,,252.214,,0,74.215,1,0,583557,
261,1.0,10,7,,232.321,,0,73.143,1,0,531328,
262,1.0,11,11,,238.149,,0,76.903,1,0,595565,
263,1.0,12,4,,232.331,,0,72.012,1,0,589415,
264,1.0,13,9,,231.02,,0,76.833,1,0,593273,
265,1.0,14,8,,261.216,,0,79.257,1,0,582340,
266,1.0,15,6,,270.304,,0,75.579,1,0,596659,
267,1.0,16,3,,211.48,,0,73.964,1,0,606763,
268,1.0,17,7,,225.03,,0,72.519,1,0,591994,
269,1.0,18,6,,209.198,,0,76.792,1,0,606669,
270,1.0,19,8,,252.901,,0,74.812,1,0,587760,
271,1.0,20,8,,201.696,,0,72.491,1,0,594022,
272,1.0,21,8,,257.331,,0,70.633,1,0,594557,
273,1.0,22,10,,175.668,,0,72.689,1,0,606993,
274,1.0,23,7,,233.495,,0,73.138,1,0,593079,
275,1.0,24,6,,169.59,,0,71.674,1,0,607157,
276,1.0,25,5,,242.588,,0,68.069,1,0,584532,
277,1.0,26,8,,275.737,,0,67.095,1,0,595702,
278,1.0,27,6,,253.879,,0,67.972,1,0,596035,
279,1.0,28,11,,236.066,,0,67.337,1,0,539599,
280,1.0,29,7,,246.449,,0,63.915,1,0,578817,
